date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:47:32	147084/147084	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%2238394ca16133f78363850eb0ebc16c36%22	https://assets.jimstatic.com/38394ca16133f78363850eb0ebc16c36.eot?	C:/Users/OSCAR%20LEAL/Desktop/minamer/assets.jimstatic.com/38394ca16133f78363850eb0ebc16c36d41d.eot	(from https://assets.jimstatic.com/web.css.5198cf957ea1993c1524078bbd1a21c9.css)
14:47:33	146872/146872	---M-Z	200	added ('OK')	application/font-sfnt	etag:%2292d755b23dfbe5bd5ac566c8df9e7827%22	https://assets.jimstatic.com/92d755b23dfbe5bd5ac566c8df9e7827.ttf	C:/Users/OSCAR%20LEAL/Desktop/minamer/assets.jimstatic.com/92d755b23dfbe5bd5ac566c8df9e7827.ttf	(from https://assets.jimstatic.com/web.css.5198cf957ea1993c1524078bbd1a21c9.css)
14:47:33	146948/146948	---M--	200	added ('OK')	application/font-woff	etag:%22a984717a9f4ef00fa217fc58c3ff86a6%22	https://assets.jimstatic.com/a984717a9f4ef00fa217fc58c3ff86a6.woff	C:/Users/OSCAR%20LEAL/Desktop/minamer/assets.jimstatic.com/a984717a9f4ef00fa217fc58c3ff86a6.woff	(from https://assets.jimstatic.com/web.css.5198cf957ea1993c1524078bbd1a21c9.css)
14:47:33	712420/712420	---M-Z	200	added ('OK')	image/svg+xml	etag:%22f7b79a3d76e79248879a74cd4fadbb14%22	https://assets.jimstatic.com/f7b79a3d76e79248879a74cd4fadbb14.svg	C:/Users/OSCAR%20LEAL/Desktop/minamer/assets.jimstatic.com/f7b79a3d76e79248879a74cd4fadbb14.svg	(from https://assets.jimstatic.com/web.css.5198cf957ea1993c1524078bbd1a21c9.css)
14:47:34	2661/2661	---M--	200	added ('OK')	image/png	etag:%22e1ca6e007c91d4ef9ee063940b504870%22	https://assets.jimstatic.com/e1ca6e007c91d4ef9ee063940b504870.png	C:/Users/OSCAR%20LEAL/Desktop/minamer/assets.jimstatic.com/e1ca6e007c91d4ef9ee063940b504870.png	(from https://assets.jimstatic.com/web.css.5198cf957ea1993c1524078bbd1a21c9.css)
14:47:34	2097/2097	---M--	200	added ('OK')	image/gif	etag:%22d32401d55ec237cee50e487c6eefa908%22	https://assets.jimstatic.com/d32401d55ec237cee50e487c6eefa908.gif	C:/Users/OSCAR%20LEAL/Desktop/minamer/assets.jimstatic.com/d32401d55ec237cee50e487c6eefa908.gif	(from https://assets.jimstatic.com/web.css.5198cf957ea1993c1524078bbd1a21c9.css)
14:47:34	2118/2118	---M--	200	added ('OK')	image/png	etag:%229e4dc55ad6bdd8b8bafced6241dac621%22	https://assets.jimstatic.com/9e4dc55ad6bdd8b8bafced6241dac621.png	C:/Users/OSCAR%20LEAL/Desktop/minamer/assets.jimstatic.com/9e4dc55ad6bdd8b8bafced6241dac621.png	(from https://assets.jimstatic.com/web.css.5198cf957ea1993c1524078bbd1a21c9.css)
14:47:37	1554/1554	---M-Z	200	added ('OK')	image/svg+xml	etag:%22b257fa9c5ac8c515ac4d77a667ce2943%22	https://assets.jimstatic.com/b257fa9c5ac8c515ac4d77a667ce2943.svg	C:/Users/OSCAR%20LEAL/Desktop/minamer/assets.jimstatic.com/b257fa9c5ac8c515ac4d77a667ce2943.svg	(from https://assets.jimstatic.com/web.css.5198cf957ea1993c1524078bbd1a21c9.css)
14:47:37	81277/81277	---M--	200	added ('OK')	image/jpeg	etag:%22a65dccf588710d270baae6689ac4743c%22	https://image.jimcdn.com/app/cms/image/transf/none/path/sc8497b8285030272/backgroundarea/i3e2608d273093d9a/version/1493925515/image.jpg	C:/Users/OSCAR%20LEAL/Desktop/minamer/image.jimcdn.com/app/cms/image/transf/none/path/sc8497b8285030272/backgroundarea/i3e2608d273093d9a/version/1493925515/image.jpg	(from https://www.minamer.com.mx/nosotros/)
14:47:39	0/0	---MC-	302	error ('Found')	text/html	date:Fri,%2031%20Aug%202018%2019:46:25%20GMT	https://www.minamer.com.mx/login	C:/Users/OSCAR%20LEAL/Desktop/minamer/www.minamer.com.mx/login.26.delayed	(from https://www.minamer.com.mx/nosotros/)
14:47:40	261509/261509	---M--	200	added ('OK')	image/jpeg	etag:%2293cfa332f36e339b63f7dad6df282ba9cb39ea2b%22	https://image.jimcdn.com/app/cms/image/transf/dimension=1920x1024:format=jpg/path/sc8497b8285030272/image/i3bdf62b3cb08ed50/version/1493927146/image.jpg	C:/Users/OSCAR%20LEAL/Desktop/minamer/image.jimcdn.com/app/cms/image/transf/dimension=1920x1024_format=jpg/path/sc8497b8285030272/image/i3bdf62b3cb08ed50/version/1493927146/image.jpg	(from https://www.minamer.com.mx/productos-y-servicios/)
14:47:40	71441/71441	---M--	200	added ('OK')	image/jpeg	etag:%2238f0b4b5e073f79587e6748d035fa546a960201c%22	https://image.jimcdn.com/app/cms/image/transf/dimension=391x1024:format=jpg/path/sc8497b8285030272/image/i3bdf62b3cb08ed50/version/1493927146/image.jpg	C:/Users/OSCAR%20LEAL/Desktop/minamer/image.jimcdn.com/app/cms/image/transf/dimension=391x1024_format=jpg/path/sc8497b8285030272/image/i3bdf62b3cb08ed50/version/1493927146/image.jpg	(from https://www.minamer.com.mx/productos-y-servicios/)
14:47:40	51442/51442	---M--	200	added ('OK')	image/jpeg	etag:%22d24eef4a9be1f461ceefff671c89e5d1f7d5a297%22	https://image.jimcdn.com/app/cms/image/transf/dimension=410x1024:format=jpg/path/sc8497b8285030272/image/iaea073e6f866f0d4/version/1493928336/image.jpg	C:/Users/OSCAR%20LEAL/Desktop/minamer/image.jimcdn.com/app/cms/image/transf/dimension=410x1024_format=jpg/path/sc8497b8285030272/image/iaea073e6f866f0d4/version/1493928336/image.jpg	(from https://www.minamer.com.mx/productos-y-servicios/)
14:47:40	15796/15796	---M--	200	added ('OK')	image/jpeg	etag:%22e737f28fa72cd805efab24d6089ef085%22	https://image.jimcdn.com/app/cms/image/transf/none/path/sc8497b8285030272/image/i95598d18fab04814/version/1493928844/image.jpg	C:/Users/OSCAR%20LEAL/Desktop/minamer/image.jimcdn.com/app/cms/image/transf/none/path/sc8497b8285030272/image/i95598d18fab04814/version/1493928844/image.jpg	(from https://www.minamer.com.mx/productos-y-servicios/)
